task,domain,arm,repeat,run,reward,private_passed,private_collected,run_record_present,session_present,status,model,effort,work_seconds,prepare_seconds,stage_usage_unknown,explicit_unknown_inflight,old_stage_input,old_stage_output,trial_path
021,Chemistry,baseline,1,deepseek-locked89-k1-v2,0,5,15,1,1,completed,deepseek-flash,low,912.1433650419349,0,0,0,5014588,102801,runs/deepseek-locked89-k1-v2/jobs/task-021-baseline/task_021__sJZkFiR
021,Chemistry,cbe,1,deepseek-locked89-k1-v2,0,10,15,1,1,completed,deepseek-flash,low,1162.10149312485,14.148545249947347,0,0,6523647,104693,runs/deepseek-locked89-k1-v2/jobs/task-021-science/task_021__dQCkkwT
022,Biomedical Engineering,baseline,1,deepseek-locked89-k1-v2,1,12,12,1,1,completed,deepseek-flash,low,799.6677567909937,0,0,0,1828026,53536,runs/deepseek-locked89-k1-v2/jobs/task-022-baseline/task_022__uDEEdjy
022,Biomedical Engineering,cbe,1,deepseek-locked89-k1-v2,0,4,12,1,1,infrastructure_failure,deepseek-flash,low,1799.3505810010247,26.929348542005755,1,0,0,0,runs/deepseek-locked89-k1-v2/jobs/task-022-science/task_022__6zVsLer
023,Chemistry,baseline,1,deepseek-locked89-k1-v2,1,8,8,1,1,completed,deepseek-flash,low,529.5171161660692,0,0,0,947311,22927,runs/deepseek-locked89-k1-v2/jobs/task-023-baseline/task_023__5nUxzFn
023,Chemistry,cbe,1,deepseek-locked89-k1-v2,1,8,8,1,1,completed,deepseek-flash,low,458.299129248946,38.22651433292776,0,0,1515062,22780,runs/deepseek-locked89-k1-v2/jobs/task-023-science/task_023__DJfcs75
026,Atmospheric Science,baseline,1,deepseek-locked89-k1-v2,0,8,9,1,1,completed,deepseek-flash,low,1280.7546079590684,0,0,0,4410042,84658,runs/deepseek-locked89-k1-v2/jobs/task-026-baseline/task_026__DEaPviq
026,Atmospheric Science,cbe,1,deepseek-locked89-k1-v2,0,8,9,1,1,completed,deepseek-flash,low,1030.347213833942,54.34970445896033,0,0,3600531,39241,runs/deepseek-locked89-k1-v2/jobs/task-026-science/task_026__jcPe8qo
029,Biology,baseline,1,deepseek-locked89-k1-v2,1,29,29,1,1,completed,deepseek-flash,low,891.6022746668896,0,0,0,5088515,81699,runs/deepseek-locked89-k1-v2/jobs/task-029-baseline/task_029__fVoxDss
029,Biology,cbe,1,deepseek-locked89-k1-v2,0,14,29,1,1,infrastructure_failure,deepseek-flash,low,1799.1018559170188,36.63806679204572,1,0,0,0,runs/deepseek-locked89-k1-v2/jobs/task-029-science/task_029__q9xQpS2
030,Materials Science and Engineering,baseline,1,deepseek-locked89-k1-v2,1,10,10,1,1,completed,deepseek-flash,low,683.3280892079929,0,0,0,1163984,34216,runs/deepseek-locked89-k1-v2/jobs/task-030-baseline/task_030__txPWFTP
030,Materials Science and Engineering,cbe,1,deepseek-locked89-k1-v2,1,10,10,1,1,completed,deepseek-flash,low,988.8542200829834,55.28830712498166,0,0,1568860,22038,runs/deepseek-locked89-k1-v2/jobs/task-030-science/task_030__urTzPpq
031,Biomedical Engineering,baseline,1,deepseek-locked89-k1-v2,1,41,41,1,1,completed,deepseek-flash,low,768.2394367910456,0,0,0,2095780,36721,runs/deepseek-locked89-k1-v2/jobs/task-031-baseline/task_031__YyXZHQK
031,Biomedical Engineering,cbe,1,deepseek-locked89-k1-v2,1,41,41,1,1,completed,deepseek-flash,low,845.9373836240266,84.85189795808401,0,0,3948179,32539,runs/deepseek-locked89-k1-v2/jobs/task-031-science/task_031__X6vR43d
032,Chemistry,baseline,1,deepseek-locked89-k1-v2,1,6,6,1,1,completed,deepseek-flash,low,791.2799141670112,0,0,0,2601495,50819,runs/deepseek-locked89-k1-v2/jobs/task-032-baseline/task_032__DPAcZJa
032,Chemistry,cbe,1,deepseek-locked89-k1-v2,1,6,6,1,1,completed,deepseek-flash,low,463.45245641691145,44.07329899992328,0,0,1418719,33710,runs/deepseek-locked89-k1-v2/jobs/task-032-science/task_032__fjkXaE7
033,Materials Science and Engineering,baseline,1,deepseek-locked89-k1-v2,0,6,10,1,1,timeout,deepseek-flash,low,1799.027055833023,0,0,0,837091,31813,runs/deepseek-locked89-k1-v2/jobs/task-033-baseline/task_033__CwGzjdC
033,Materials Science and Engineering,cbe,1,deepseek-locked89-k1-v2,0,5,10,1,1,infrastructure_failure,deepseek-flash,low,1798.6535341668641,183.77635624993127,0,0,125231,4041,runs/deepseek-locked89-k1-v2/jobs/task-033-science/task_033__JiLbQuJ
034,Mathematics,baseline,1,deepseek-locked89-k1-v2,0,1,8,1,1,timeout,deepseek-flash,low,1799.049989958061,0,0,0,1388147,23209,runs/deepseek-locked89-k1-v2/jobs/task-034-baseline/task_034__RLVbcei
034,Mathematics,cbe,1,deepseek-locked89-k1-v2,0,1,8,1,1,infrastructure_failure,deepseek-flash,low,1797.3192160830367,89.47725595801603,0,0,2785218,35162,runs/deepseek-locked89-k1-v2/jobs/task-034-science/task_034__84swMwB
035,Mathematics,baseline,1,deepseek-locked89-k1-v2,0,8,14,1,1,completed,deepseek-flash,low,732.1727234170539,0,0,0,2459173,45506,runs/deepseek-locked89-k1-v2/jobs/task-035-baseline/task_035__WDiGH46
035,Mathematics,cbe,1,deepseek-locked89-k1-v2,0,8,14,1,1,infrastructure_failure,deepseek-flash,low,1798.5316762919538,37.95837616699282,0,0,5604159,74450,runs/deepseek-locked89-k1-v2/jobs/task-035-science/task_035__tpc6nDW
036,Marine Science,baseline,1,deepseek-locked89-k1-v2,0,6,9,1,1,completed,deepseek-flash,low,1164.7789494170574,0,0,0,4927412,63490,runs/deepseek-locked89-k1-v2/jobs/task-036-baseline/task_036__UzsBqTE
036,Marine Science,cbe,1,deepseek-locked89-k1-v2,0,7,9,1,1,completed,deepseek-flash,low,1187.0771163749741,39.726023708004504,0,0,4214460,59387,runs/deepseek-locked89-k1-v2/jobs/task-036-science/task_036__AzSju2n
037,Biomedical Engineering,baseline,1,deepseek-locked89-k1-v2,0,3,13,1,1,completed,deepseek-flash,low,767.7080648749834,0,0,0,3005557,64095,runs/deepseek-locked89-k1-v2/jobs/task-037-baseline/task_037__qGrsyQn
037,Biomedical Engineering,cbe,1,deepseek-locked89-k1-v2,0,3,13,1,1,infrastructure_failure,deepseek-flash,low,1798.096317957854,66.81220045790542,1,0,0,0,runs/deepseek-locked89-k1-v2/jobs/task-037-science/task_037__9x9KxzY
038,Materials Science and Engineering,baseline,1,deepseek-locked89-k1-v2,1,15,15,1,1,timeout,deepseek-flash,low,1799.055774250999,0,1,1,0,0,runs/deepseek-locked89-k1-v2/jobs/task-038-baseline/task_038__a6Zvotn
038,Materials Science and Engineering,cbe,1,deepseek-locked89-k1-v2,1,15,15,1,1,infrastructure_failure,deepseek-flash,low,1795.0779602918774,129.84177599998657,1,1,0,0,runs/deepseek-locked89-k1-v2/jobs/task-038-science/task_038__BNXdSJJ
039,Geography,baseline,1,deepseek-locked89-k1-v2,0,4,11,1,1,timeout,deepseek-flash,low,1799.120737958001,0,1,1,0,0,runs/deepseek-locked89-k1-v2/jobs/task-039-baseline/task_039__9H5yEoH
039,Geography,cbe,1,deepseek-locked89-k1-v2,0,4,11,1,1,infrastructure_failure,deepseek-flash,low,1798.8803387079388,87.3812877079472,0,0,3765006,43417,runs/deepseek-locked89-k1-v2/jobs/task-039-science/task_039__MigLcSc
040,Geophysics,baseline,1,deepseek-locked89-k1-v2,0,0,3,1,1,timeout,deepseek-flash,low,1799.0787605840014,0,0,0,361703,5973,runs/deepseek-locked89-k1-v2/jobs/task-040-baseline/task_040__VbahdNr
040,Geophysics,cbe,1,deepseek-locked89-k1-v2,0,0,3,1,1,infrastructure_failure,deepseek-flash,low,1794.8522183749592,328.18293899996206,1,0,0,0,runs/deepseek-locked89-k1-v2/jobs/task-040-science/task_040__PBXkYLe
041,Geophysics,baseline,1,deepseek-locked89-k1-v2,0,7,24,1,1,completed,deepseek-flash,low,1282.4444678340806,0,0,0,4410800,75555,runs/deepseek-locked89-k1-v2/jobs/task-041-baseline/task_041__3CvFeZX
041,Geophysics,cbe,1,deepseek-locked89-k1-v2,0,3,24,1,1,completed,deepseek-flash,low,874.0547224588227,54.382886083913036,0,0,3631492,49355,runs/deepseek-locked89-k1-v2/jobs/task-041-science/task_041__Uwv683g
042,Astronomy,baseline,1,deepseek-locked89-k1-v2,0,15,16,1,1,timeout,deepseek-flash,low,1799.0444554579444,0,0,0,5371981,56457,runs/deepseek-locked89-k1-v2/jobs/task-042-baseline/task_042__4Ysr5gT
042,Astronomy,cbe,1,deepseek-locked89-k1-v2,1,16,16,1,1,completed,deepseek-flash,low,1552.4050958759617,60.40865258395206,0,0,8912731,46933,runs/deepseek-locked89-k1-v2/jobs/task-042-science/task_042__bdvKKZk
043,Materials Science and Engineering,baseline,1,deepseek-locked89-k1-v2,0,4,8,1,1,completed,deepseek-flash,low,1182.7299640829442,0,0,0,1333840,32565,runs/deepseek-locked89-k1-v2/jobs/task-043-baseline/task_043__2rJpg75
043,Materials Science and Engineering,cbe,1,deepseek-locked89-k1-v2,0,4,8,1,1,infrastructure_failure,deepseek-flash,low,1797.5037819170393,104.82251512503717,0,0,4556142,38340,runs/deepseek-locked89-k1-v2/jobs/task-043-science/task_043__TUaW6nD
044,Chemistry,baseline,1,deepseek-locked89-k1-v2,0,8,15,1,1,completed,deepseek-flash,low,1705.3045514159603,0,0,0,3202183,52692,runs/deepseek-locked89-k1-v2/jobs/task-044-baseline/task_044__HvhbkLW
044,Chemistry,cbe,1,deepseek-locked89-k1-v2,0,8,15,1,1,completed,deepseek-flash,low,1683.7232367499964,262.02494845807087,0,0,2881442,59128,runs/deepseek-locked89-k1-v2/jobs/task-044-science/task_044__FdzfVBX
046,Astronomy,baseline,1,deepseek-locked89-k1-v2,0,6,10,1,1,completed,deepseek-flash,low,655.7869803339709,0,0,0,1707622,27893,runs/deepseek-locked89-k1-v2/jobs/task-046-baseline/task_046__7iPMyy9
046,Astronomy,cbe,1,deepseek-locked89-k1-v2,0,6,10,1,1,infrastructure_failure,deepseek-flash,low,1793.714679124998,113.37360074999742,0,0,2537554,35237,runs/deepseek-locked89-k1-v2/jobs/task-046-science/task_046__7pcjved
047,Information and Communication Engineering,baseline,1,deepseek-locked89-k1-v2,0,2,7,1,1,timeout,deepseek-flash,low,1799.5416936660185,0,0,0,7618201,93847,runs/deepseek-locked89-k1-v2/jobs/task-047-baseline/task_047__WzJv6qS
047,Information and Communication Engineering,cbe,1,deepseek-locked89-k1-v2,0,1,7,1,1,infrastructure_failure,deepseek-flash,low,1798.197529416997,107.14866062498186,1,0,0,0,runs/deepseek-locked89-k1-v2/jobs/task-047-science/task_047__ztabpun
048,Chemistry,baseline,1,deepseek-locked89-k1-v2,0,5,13,1,1,timeout,deepseek-flash,low,1800.0249511250295,0,1,0,0,0,runs/deepseek-locked89-k1-v2/jobs/task-048-baseline/task_048__VgRqSmM
048,Chemistry,cbe,1,deepseek-locked89-k1-v2,0,12,13,1,1,infrastructure_failure,deepseek-flash,low,1798.082839041017,325.2755805409979,1,0,0,0,runs/deepseek-locked89-k1-v2/jobs/task-048-science/task_048__n65z8M3
049,Mathematics,baseline,1,deepseek-locked89-k1-v2,0,11,13,1,1,completed,deepseek-flash,low,1760.8862360409694,0,0,0,6673017,52491,runs/deepseek-locked89-k1-v2/jobs/task-049-baseline/task_049__Ze85UnC
049,Mathematics,cbe,1,deepseek-locked89-k1-v2,0,11,13,1,1,infrastructure_failure,deepseek-flash,low,1793.1200521669816,88.18420895794407,1,0,0,0,runs/deepseek-locked89-k1-v2/jobs/task-049-science/task_049__ao73xj5
050,Physics,baseline,1,deepseek-locked89-k1-v2,0,9,11,1,1,completed,deepseek-flash,low,1225.9917232909938,0,0,0,2371914,30288,runs/deepseek-locked89-k1-v2/jobs/task-050-baseline/task_050__gTYgbXB
050,Physics,cbe,1,deepseek-locked89-k1-v2,0,9,11,1,1,infrastructure_failure,deepseek-flash,low,1798.4305999999633,195.8716395420488,0,0,3420524,42349,runs/deepseek-locked89-k1-v2/jobs/task-050-science/task_050__zmQPpuW
052,Materials Science and Engineering,baseline,1,deepseek-locked89-k1-v2,0,11,16,1,1,timeout,deepseek-flash,low,1799.0567988330731,0,0,0,2305141,35005,runs/deepseek-locked89-k1-v2/jobs/task-052-baseline/task_052__FhMm2a8
052,Materials Science and Engineering,cbe,1,deepseek-locked89-k1-v2,0,8,16,1,1,infrastructure_failure,deepseek-flash,low,1798.9189693330554,91.25390641705599,0,0,5835279,42682,runs/deepseek-locked89-k1-v2/jobs/task-052-science/task_052__zX7eTm4
053,Biomedical Engineering,baseline,1,deepseek-locked89-k1-v2,0,2,6,1,1,timeout,deepseek-flash,low,1799.0100297500612,0,0,0,1204765,50156,runs/deepseek-locked89-k1-v2/jobs/task-053-baseline/task_053__BPkFyYf
053,Biomedical Engineering,cbe,1,deepseek-locked89-k1-v2,0,5,6,1,1,infrastructure_failure,deepseek-flash,low,1798.243377376115,121.08008020906709,0,0,4169396,51672,runs/deepseek-locked89-k1-v2/jobs/task-053-science/task_053__vjjNUQA
054,Chemistry,baseline,1,deepseek-locked89-k1-v2,0,3,7,1,1,timeout,deepseek-flash,low,1799.2889875840629,0,0,0,2485353,54403,runs/deepseek-locked89-k1-v2/jobs/task-054-baseline/task_054__GjhriGz
054,Chemistry,cbe,1,deepseek-locked89-k1-v2,0,3,7,1,1,infrastructure_failure,deepseek-flash,low,1796.864041125984,38.209453791962005,0,0,2700193,59851,runs/deepseek-locked89-k1-v2/jobs/task-054-science/task_054__i8iebi6
055,Astronomy,baseline,1,deepseek-locked89-k1-v2,0,10,18,1,1,timeout,deepseek-flash,low,1799.0186099589337,0,0,0,3767256,65404,runs/deepseek-locked89-k1-v2/jobs/task-055-baseline/task_055__K3oarCD
055,Astronomy,cbe,1,deepseek-locked89-k1-v2,0,10,18,1,1,completed,deepseek-flash,low,1355.0926883330103,58.60691808303818,0,0,3608007,65833,runs/deepseek-locked89-k1-v2/jobs/task-055-science/task_055__Wstxk7a
056,Aeronautical and Astronautical Science and Technology,baseline,1,deepseek-locked89-k1-v2,1,10,10,1,1,completed,deepseek-flash,low,1261.5547835830366,0,0,0,1404651,25424,runs/deepseek-locked89-k1-v2/jobs/task-056-baseline/task_056__6Mh6wGb
056,Aeronautical and Astronautical Science and Technology,cbe,1,deepseek-locked89-k1-v2,1,10,10,1,1,completed,deepseek-flash,low,946.946633040905,301.1794130000053,0,0,624291,10183,runs/deepseek-locked89-k1-v2/jobs/task-056-science/task_056__cwUtkzg
057,Chemistry,baseline,1,deepseek-locked89-k1-v2,1,11,11,1,1,timeout,deepseek-flash,low,1799.43747170805,0,0,0,2715114,42422,runs/deepseek-locked89-k1-v2/jobs/task-057-baseline/task_057__myT2iDd
057,Chemistry,cbe,1,deepseek-locked89-k1-v2,1,11,11,1,1,completed,deepseek-flash,low,1766.2061083338922,141.0365567499539,0,0,9658107,95751,runs/deepseek-locked89-k1-v2/jobs/task-057-science/task_057__xYXAiBq
059,Computer Science and Technology,baseline,1,deepseek-locked89-k1-v2,0,4,9,1,1,completed,deepseek-flash,low,714.2021597499261,0,0,0,2091699,49513,runs/deepseek-locked89-k1-v2/jobs/task-059-baseline/task_059__NnxqYRS
059,Computer Science and Technology,cbe,1,deepseek-locked89-k1-v2,0,7,9,1,1,completed,deepseek-flash,low,737.2566510831239,53.390478375018574,0,0,2319605,44253,runs/deepseek-locked89-k1-v2/jobs/task-059-science/task_059__FMHY4ni
060,Biomedical Engineering,baseline,1,deepseek-locked89-k1-v2,0,4,11,1,1,completed,deepseek-flash,low,413.8051446659956,0,0,0,697146,17345,runs/deepseek-locked89-k1-v2/jobs/task-060-baseline/task_060__W3wW2xU
060,Biomedical Engineering,cbe,1,deepseek-locked89-k1-v2,0,4,11,1,1,completed,deepseek-flash,low,564.5111780411098,167.9152066661045,0,0,796467,10034,runs/deepseek-locked89-k1-v2/jobs/task-060-science/task_060__HDzbeRe
062,Materials Science and Engineering,baseline,1,deepseek-locked89-k1-v2,1,17,17,1,1,timeout,deepseek-flash,low,1799.081633041962,0,0,0,5076553,79841,runs/deepseek-locked89-k1-v2/jobs/task-062-baseline/task_062__sFZCAvb
062,Materials Science and Engineering,cbe,1,deepseek-locked89-k1-v2,1,17,17,1,1,infrastructure_failure,deepseek-flash,low,1795.9433914581314,114.55539616604801,0,0,5074445,65242,runs/deepseek-locked89-k1-v2/jobs/task-062-science/task_062__Xkmirc9
063,Biology,baseline,1,deepseek-locked89-k1-v2,0,9,18,1,1,completed,deepseek-flash,low,1424.8396476670168,0,0,0,7637148,91007,runs/deepseek-locked89-k1-v2/jobs/task-063-baseline/task_063__c7SsYLX
063,Biology,cbe,1,deepseek-locked89-k1-v2,0,7,18,1,1,infrastructure_failure,deepseek-flash,low,1791.9746353329392,393.6536876249593,1,0,0,0,runs/deepseek-locked89-k1-v2/jobs/task-063-science/task_063__R4Zirmw
064,Chemistry,baseline,1,deepseek-locked89-k1-v2,0,2,8,1,1,timeout,deepseek-flash,low,1799.9508185419254,0,0,0,3996249,76048,runs/deepseek-locked89-k1-v2/jobs/task-064-baseline/task_064__EgFEkdc
064,Chemistry,cbe,1,deepseek-locked89-k1-v2,0,2,8,1,1,infrastructure_failure,deepseek-flash,low,1799.102591541945,65.64936016697902,1,0,0,0,runs/deepseek-locked89-k1-v2/jobs/task-064-science/task_064__TEijAgo
065,Astronomy,baseline,1,deepseek-locked89-k1-v2,0,6,7,1,1,completed,deepseek-flash,low,1435.8769256670494,0,0,0,2899106,35860,runs/deepseek-locked89-k1-v2/jobs/task-065-baseline/task_065__7Qsq3SF
065,Astronomy,cbe,1,deepseek-locked89-k1-v2,0,3,7,1,1,infrastructure_failure,deepseek-flash,low,1796.350602501072,329.65315833408386,0,0,2705680,20618,runs/deepseek-locked89-k1-v2/jobs/task-065-science/task_065__SC4hfhu
066,Atmospheric Science,baseline,1,deepseek-locked89-k1-v2,0,4,6,1,1,completed,deepseek-flash,low,1029.7811412089504,0,0,0,4184958,39330,runs/deepseek-locked89-k1-v2/jobs/task-066-baseline/task_066__ywELP5R
066,Atmospheric Science,cbe,1,deepseek-locked89-k1-v2,0,5,6,1,1,completed,deepseek-flash,low,1071.7504627080634,173.46593770803884,0,0,2316641,27663,runs/deepseek-locked89-k1-v2/jobs/task-066-science/task_066__SM776K6
067,Atmospheric Science,baseline,1,deepseek-locked89-k1-v2,1,6,6,1,1,completed,deepseek-flash,low,932.3280066249426,0,0,0,1670130,39863,runs/deepseek-locked89-k1-v2/jobs/task-067-baseline/task_067__JjNgN7M
067,Atmospheric Science,cbe,1,deepseek-locked89-k1-v2,1,6,6,1,1,completed,deepseek-flash,low,911.0226326250704,97.8051211660495,0,0,1910759,43555,runs/deepseek-locked89-k1-v2/jobs/task-067-science/task_067__oBUqD9f
068,Biology,baseline,1,deepseek-locked89-k1-v2,0,0,3,1,1,timeout,deepseek-flash,low,1799.326203375007,0,0,0,2612401,51073,runs/deepseek-locked89-k1-v2/jobs/task-068-baseline/task_068__RMN6S8N
068,Biology,cbe,1,deepseek-locked89-k1-v2,0,0,3,1,1,infrastructure_failure,deepseek-flash,low,1798.795575333992,195.34692554199137,1,0,0,0,runs/deepseek-locked89-k1-v2/jobs/task-068-science/task_068__kaPWyew
069,Biology,baseline,1,deepseek-locked89-k1-v2,1,4,4,1,1,completed,deepseek-flash,low,714.8884009589674,0,0,0,647295,11709,runs/deepseek-locked89-k1-v2/jobs/task-069-baseline/task_069__SbFtzwH
069,Biology,cbe,1,deepseek-locked89-k1-v2,1,4,4,1,1,completed,deepseek-flash,low,1114.0407591670519,244.4393594589783,0,0,1691101,20213,runs/deepseek-locked89-k1-v2/jobs/task-069-science/task_069__SJDLRmb
071,Physics,baseline,1,deepseek-locked89-k1-v2,0,1,5,1,1,timeout,deepseek-flash,low,1799.60066658305,0,0,0,11204168,128468,runs/deepseek-locked89-k1-v2/jobs/task-071-baseline/task_071__oDGc6TH
071,Physics,cbe,1,deepseek-locked89-k1-v2,0,2,5,1,1,infrastructure_failure,deepseek-flash,low,1798.8736654170789,256.70970975002274,0,0,8465206,85286,runs/deepseek-locked89-k1-v2/jobs/task-071-science/task_071__oR9nSFs
072,Biomedical Engineering,baseline,1,deepseek-locked89-k1-v2,0,5,7,1,1,completed,deepseek-flash,low,1006.7801486660028,0,0,0,4907070,71296,runs/deepseek-locked89-k1-v2/jobs/task-072-baseline/task_072__cuy9dkR
072,Biomedical Engineering,cbe,1,deepseek-locked89-k1-v2,0,4,7,1,1,completed,deepseek-flash,low,1496.4878800000297,155.26872237503994,0,0,8276521,95584,runs/deepseek-locked89-k1-v2/jobs/task-072-science/task_072__PMg3nmb
074,Materials Science and Engineering,baseline,1,deepseek-locked89-k1-v2,0,9,10,1,1,completed,deepseek-flash,low,904.5031909169629,0,0,0,1344629,34520,runs/deepseek-locked89-k1-v2/jobs/task-074-baseline/task_074__RJs3Uyj
074,Materials Science and Engineering,cbe,1,deepseek-locked89-k1-v2,1,10,10,1,1,completed,deepseek-flash,low,770.9671402919339,85.51240895898081,0,0,1912444,35680,runs/deepseek-locked89-k1-v2/jobs/task-074-science/task_074__5kSnD3N
075,Materials Science and Engineering,baseline,1,deepseek-locked89-k1-v2,0,1,8,1,1,timeout,deepseek-flash,low,1799.0351319160545,0,0,0,2201361,71816,runs/deepseek-locked89-k1-v2/jobs/task-075-baseline/task_075__s6sHQUR
075,Materials Science and Engineering,cbe,1,deepseek-locked89-k1-v2,0,1,8,1,1,completed,deepseek-flash,low,1670.2634746249532,68.43452912499197,0,0,3758739,83732,runs/deepseek-locked89-k1-v2/jobs/task-075-science/task_075__D2Q2ujs
079,Chemistry,baseline,1,deepseek-locked89-k1-v2,0,13,14,1,1,completed,deepseek-flash,low,702.6180549999699,0,0,0,2953630,83537,runs/deepseek-locked89-k1-v2/jobs/task-079-baseline/task_079__NiiRu5N
079,Chemistry,cbe,1,deepseek-locked89-k1-v2,0,13,14,1,1,completed,deepseek-flash,low,1151.2403153330088,60.0056402500486,0,0,6285387,112276,runs/deepseek-locked89-k1-v2/jobs/task-079-science/task_079__pQu8pht
081,Biology,baseline,1,deepseek-locked89-k1-v2,1,5,5,1,1,completed,deepseek-flash,low,1193.3694014170906,0,0,0,2636899,47719,runs/deepseek-locked89-k1-v2/jobs/task-081-baseline/task_081__9pGUHNh
081,Biology,cbe,1,deepseek-locked89-k1-v2,1,5,5,1,1,completed,deepseek-flash,low,1121.9611249159789,84.8880346249789,0,0,4045818,42445,runs/deepseek-locked89-k1-v2/jobs/task-081-science/task_081__w7Hg8EF
082,Materials Science and Engineering,baseline,1,deepseek-locked89-k1-v2,0,1,7,1,1,completed,deepseek-flash,low,209.785107707954,0,0,0,368086,18606,runs/deepseek-locked89-k1-v2/jobs/task-082-baseline/task_082__qbAWY9y
082,Materials Science and Engineering,cbe,1,deepseek-locked89-k1-v2,0,1,7,1,1,completed,deepseek-flash,low,329.15805845789146,51.242099415976554,0,0,760545,24080,runs/deepseek-locked89-k1-v2/jobs/task-082-science/task_082__UfkXCf8
083,Chemistry,baseline,1,deepseek-locked89-k1-v2,0,1,3,1,1,timeout,deepseek-flash,low,1799.0262439999497,0,0,0,6135659,65314,runs/deepseek-locked89-k1-v2/jobs/task-083-baseline/task_083__uTyGzzm
